USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  24128 14816 ?        Ss   01:44   0:03 /sbin/init splash
root          59  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/14]
root          60  0.0  0.0      0     0 ?        S    01:44   0:02 [migration/14]
root          61  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/14]
root          63  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/14:0H-kblockd]
root          64  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/1]
root          65  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/1]
root          66  0.0  0.0      0     0 ?        S    01:44   0:01 [migration/1]
root          67  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/1]
root          69  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/1:0H-kblockd]
root          70  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/3]
root          71  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/3]
root          72  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/3]
root          73  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/3]
root          75  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/3:0H-kblockd]
root          76  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/5]
root          77  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/5]
root          78  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/5]
root          79  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/5]
root          81  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/5:0H-kblockd]
root          82  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/7]
root          83  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/7]
root          84  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/7]
root          85  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/7]
root          87  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/7:0H-kblockd]
root          88  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/9]
root          89  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/9]
root          90  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/9]
root          91  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/9]
root          93  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/9:0H-kblockd]
root          94  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/11]
root          95  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/11]
root          96  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/11]
root          97  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/11]
root          99  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/11:0H-kblockd]
root         100  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/13]
root         101  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/13]
root         102  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/13]
root         103  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/13]
root         105  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/13:0H-kblockd]
root         106  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/15]
root         107  0.0  0.0      0     0 ?        S    01:44   0:00 [idle_inject/15]
root         108  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/15]
root         109  0.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/15]
root         111  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/15:0H-kblockd]
root         112  0.0  0.0      0     0 ?        S    01:44   0:00 [kdevtmpfs]
root         113  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-inet_frag_wq]
root         114  0.0  0.0      0     0 ?        I    01:44   0:00 [rcu_tasks_kthread]
root         115  0.0  0.0      0     0 ?        I    01:44   0:00 [rcu_tasks_rude_kthread]
root         116  0.0  0.0      0     0 ?        S    01:44   0:00 [kauditd]
root         117  0.0  0.0      0     0 ?        S    01:44   0:00 [khungtaskd]
root         118  0.0  0.0      0     0 ?        S    01:44   0:00 [oom_reaper]
root         121  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-writeback]
root         122  0.0  0.0      0     0 ?        S    01:44   0:07 [kcompactd0]
root         123  0.0  0.0      0     0 ?        SN   01:44   0:00 [ksmd]
root         124  0.0  0.0      0     0 ?        SN   01:44   0:00 [khugepaged]
root         125  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-kblockd]
root         126  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-blkcg_punt_bio]
root         127  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-kintegrityd]
root         128  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/9-acpi]
root         129  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/1:1-mm_percpu_wq]
root         131  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-tpm_dev_wq]
root         132  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-ata_sff]
root         133  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-md_bitmap]
root         134  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-md_llbitmap_io]
root         135  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-md_llbitmap_unplug]
root         136  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-edac-poller]
root         137  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-devfreq_wq]
root         138  0.0  0.0      0     0 ?        S    01:44   0:00 [watchdogd]
root         139  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-quota_events_unbound]
root         140  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/25-AMD-Vi0-Evt]
root         141  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/26-AMD-Vi0-PPR]
root         142  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/27-AMD-Vi0-GA]
root         144  0.0  0.0      0     0 ?        S    01:44   0:10 [kswapd0]
root         145  0.0  0.0      0     0 ?        S    01:44   0:00 [ecryptfs-kthread]
root         146  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-kthrotld]
root         148  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-acpi_thermal_pm]
root         149  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-mld]
root         150  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-ipv6_addrconf]
root         151  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-kstrp]
root         155  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/5:1-mm_percpu_wq]
root         170  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-charger_manager]
root         171  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/28-ACPI:Event]
root         172  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/29-ACPI:Event]
root         173  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/30-ACPI:Event]
root         174  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/31-ACPI:Event]
root         175  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/32-ACPI:Event]
root         176  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/33-ACPI:Event]
root         177  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/34-ACPI:Event]
root         178  0.1  0.0      0     0 ?        S    01:44   1:21 [irq/35-ACPI:Event]
root         179  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/36-ACPI:Event]
root         234  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/4:2-events]
root         250  0.0  0.0      0     0 ?        S    01:44   0:10 [irq/58-ELAN1200:00]
root         311  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-nvme-wq]
root         312  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-nvme-reset-wq]
root         313  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-nvme-delete-wq]
root         314  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-nvme-auth-wq]
root         362  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/14:1H-kblockd]
root         364  0.0  0.0      0     0 ?        S    01:44   0:02 [jbd2/nvme0n1p6-8]
root         365  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-ext4-rsv-conversion]
root         376  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/15:1-cgroup_free]
root         419  0.0  0.1  67388 22292 ?        S<s  01:44   0:03 /usr/lib/systemd/systemd-journald
root         454  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/6:1H-kblockd]
root         456  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/7:2-mm_percpu_wq]
root         464  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/7:1H-kblockd]
root         467  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/2:1H-kblockd]
root         469  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/0:1H-kblockd]
root         470  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/15:1H-kblockd]
root         472  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/4:1H-kblockd]
root         477  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/11:1H-kblockd]
root         479  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/9:1H-kblockd]
root         480  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/1:1H-kblockd]
root         483  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/13:1H-kblockd]
root         486  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/8:1H-kblockd]
root         489  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/5:1H-kblockd]
root         500  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/3:1H-kblockd]
root         512  0.0  0.0  31276  8828 ?        Ss   01:44   0:00 /usr/lib/systemd/systemd-udevd
root         575  0.0  0.0      0     0 ?        S    01:44   0:00 [psimon]
root         610  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/12:1H-kblockd]
root         661  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/10:1H-kblockd]
root         693  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-cfg80211]
root         790  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/6:2-mm_percpu_wq]
root         791  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-led_workqueue]
root         806  0.1  0.0      0     0 ?        S    01:44   2:01 [irq/84-rtw89_pci]
root         832  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-amdgpu-reset-dev]
root         972  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-ttm]
systemd+     974  0.0  0.0  17572  7504 ?        Ss   01:44   0:04 /usr/lib/systemd/systemd-oomd
systemd+     975  0.0  0.0  23604 13344 ?        Ss   01:44   0:03 /usr/lib/systemd/systemd-resolved
systemd+     976  0.0  0.0  91060  7796 ?        Ssl  01:44   0:00 /usr/lib/systemd/systemd-timesyncd
root         989  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         990  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         991  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-dm_vblank_control_workqueue]
root        1062  0.0  0.0      0     0 ?        S    01:44   0:00 [card1-crtc0]
root        1063  0.0  0.0      0     0 ?        S    01:44   0:00 [card1-crtc1]
root        1064  0.0  0.0      0     0 ?        S    01:44   0:00 [card1-crtc2]
root        1065  0.0  0.0      0     0 ?        S    01:44   0:00 [card1-crtc3]
root        1067  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-gfx]
root        1068  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.0.0]
root        1069  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.1.0]
root        1070  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.2.0]
root        1071  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.3.0]
root        1072  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.0.1]
avahi       1073  1.4  0.0  15400 11236 ?        Ss   01:44  15:30 avahi-daemon: running [Vivobook-ASUSLaptop-M1502QA-M1502QA.local]
root        1074  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.1.1]
root        1075  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.2.1]
root        1076  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-comp_1.3.1]
root        1077  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-sdma0]
root        1078  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-vcn_dec]
root        1079  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-vcn_enc0]
root        1080  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-vcn_enc1]
root        1081  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/R-jpeg_dec]
root        1082  0.0  0.0  13836  6452 ?        Ss   01:44   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1083  0.0  0.0  12372  7212 ?        Ss   01:44   0:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1086  0.0  0.0 365476 14536 ?        Ssl  01:44   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1091  0.0  0.0 390920 12232 ?        Ssl  01:44   0:01 /usr/lib/polkit-1/polkitd --no-debug
root        1101  0.0  0.1 2812652 19480 ?       Ssl  01:44   0:05 /snap/snapd/current/usr/lib/snapd/snapd
root        1104  0.0  0.0 313960  8316 ?        Ssl  01:44   0:00 /usr/libexec/accounts-daemon
root        1113  0.0  0.0   9432  2876 ?        Ss   01:44   0:00 /usr/sbin/cron -f -P
root        1130  0.0  0.0 309924  6960 ?        Ssl  01:44   0:00 /usr/libexec/switcheroo-control
root        1145  0.0  0.0  18172  9324 ?        Ss   01:44   0:00 /usr/lib/systemd/systemd-logind
root        1160  0.0  0.0 406036 14460 ?        Ssl  01:44   0:05 /usr/bin/touchegg --daemon
root        1169  0.0  0.0 470484 12592 ?        Ssl  01:44   0:00 /usr/libexec/udisks2/udisksd
avahi       1199  0.0  0.0   8488  1472 ?        S    01:44   0:00 avahi-daemon: chroot helper
root        1203  0.0  0.1 338080 20240 ?        Ssl  01:44   0:03 /usr/sbin/NetworkManager --no-daemon
root        1207  0.0  0.0  18168  9844 ?        Ss   01:44   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1250  0.0  0.0 222572  6596 ?        Ssl  01:44   0:01 /usr/sbin/rsyslogd -n -iNONE
root        1408  0.0  0.0 392180 10264 ?        Ssl  01:44   0:00 /usr/sbin/ModemManager
root        1524  0.0  0.0      0     0 ?        S    01:44   0:00 [psimon]
root        1527  0.0  0.0  38924 11580 ?        Ss   01:44   0:00 /usr/sbin/cupsd -l
redis       1534  0.0  0.0  70480 13316 ?        Ssl  01:44   0:17 /usr/bin/redis-server 127.0.0.1:6379
root        1536  0.0  0.1 118048 20920 ?        Ssl  01:44   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1539  0.0  0.1 2777544 20496 ?       Ssl  01:44   0:11 /usr/bin/containerd
colord      1554  0.0  0.0 320208 13584 ?        Ssl  01:44   0:00 /usr/libexec/colord
root        1564  0.0  0.0 314820  9136 ?        Ssl  01:44   0:00 /usr/sbin/gdm3
mysql       1588  0.1  0.3 2310764 48488 ?       Ssl  01:44   1:05 /usr/sbin/mysqld
rtkit       1664  0.0  0.0  22948  3340 ?        SNsl 01:44   0:00 /usr/libexec/rtkit-daemon
root        1763  0.0  0.0      0     0 ?        S<   01:44   0:00 [krfcommd]
root        1986  0.0  0.0 317516  9512 ?        Ssl  01:44   0:03 /usr/libexec/upowerd
cups-br+    2353  0.0  0.1 366872 17056 ?        Ssl  01:44   0:00 /usr/sbin/cups-browsed
root        2354  0.0  0.1 3282924 24916 ?       Ssl  01:44   0:04 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2356  0.0  0.0  12752  2044 ?        Ss   01:44   0:00 /usr/sbin/kerneloops --test
kernoops    2359  0.0  0.0  12752  1976 ?        Ss   01:44   0:00 /usr/sbin/kerneloops
root        2432  0.0  0.0 390056 10188 ?        Sl   01:44   0:00 gdm-session-worker [pam/gdm-password]
root        2690  0.0  0.0 1268276 4408 ?        Sl   01:44   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 584d60a9dd64f65f42c803c085301a8f801a182934d7274709d5e587e712c90b -address /run/containerd/containerd.sock
root        2691  0.0  0.0 1268276 4468 ?        Sl   01:44   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id ad5bd3ced833febc1ecf3d71e82ef90d48d40955618ba54ff044888f0c3fec18 -address /run/containerd/containerd.sock
root        2692  0.0  0.0 1268020 4500 ?        Sl   01:44   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 101d42409192b2e85a1ebf1fa11b63440abf0854601fd74dfddd5e4cc0e8bdd0 -address /run/containerd/containerd.sock
dnsmasq     2762  0.1  0.0  39388  8764 ?        Ssl  01:44   1:04 redis-server *:6379
root        2763  0.0  0.0   4064   512 ?        Ss   01:44   0:00 bash ./entrypoint.sh
dnsmasq     2766  0.1  0.1 573044 20344 ?        Ssl  01:44   1:05 mongod --bind_ip_all
root        2867  0.0  0.0 1747116 1736 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6333 -container-ip 172.20.0.2 -container-port 6333 -use-listen-fd
root        2873  0.0  0.0 1747116 1744 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6333 -container-ip 172.20.0.2 -container-port 6333 -use-listen-fd
root        2891  0.0  0.0 1673384 1740 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6334 -container-ip 172.20.0.2 -container-port 6334 -use-listen-fd
root        2897  0.0  0.0 1746860 1740 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6334 -container-ip 172.20.0.2 -container-port 6334 -use-listen-fd
root        2920  0.0  0.0 1747116 1736 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 27017 -container-ip 172.19.0.2 -container-port 27017 -use-listen-fd
root        2926  0.0  0.0 1820848 1744 ?        Sl   01:44   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 27017 -container-ip 172.19.0.2 -container-port 27017 -use-listen-fd
root        2937  0.0  0.2 2739064 34352 ?       Sl   01:44   0:32 ./qdrant
root        3015  0.0  0.0 313596  8032 ?        Ssl  01:44   0:00 /usr/libexec/power-profiles-daemon
mohamme+    3116  0.0  0.0  21916 12492 ?        Ss   01:44   0:04 /usr/lib/systemd/systemd --user
mohamme+    3124  0.0  0.0  21484  2056 ?        S    01:44   0:00 (sd-pam)
mohamme+    3166  0.0  0.0 119196 13128 ?        S<sl 01:44   0:19 /usr/bin/pipewire
mohamme+    3167  0.0  0.0  97744  5560 ?        Ssl  01:44   0:00 /usr/bin/pipewire -c filter-chain.conf
mohamme+    3171  0.0  0.1 408012 16648 ?        S<sl 01:44   0:17 /usr/bin/wireplumber
mohamme+    3172  0.0  0.2 137304 35008 ?        S<Lsl 01:44   0:32 /usr/bin/pipewire-pulse
mohamme+    3174  0.0  0.0 316648 10164 ?        SLsl 01:44   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
mohamme+    3185  0.0  0.0  11188  6452 ?        Ss   01:44   0:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mohamme+    3234  0.0  0.0 610300  7040 ?        Ssl  01:44   0:00 /usr/libexec/xdg-document-portal
mohamme+    3238  0.0  0.0 309448  5908 ?        Ssl  01:44   0:00 /usr/libexec/xdg-permission-store
root        3245  0.0  0.0   2712  1896 ?        Ss   01:44   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
mohamme+    3262  0.0  0.0 235720  5764 tty2     Ssl+ 01:44   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
mohamme+    3266  1.2  0.5 1354000 88244 tty2    Sl+  01:44  12:55 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
mohamme+    3312  0.0  0.0 298244 13096 tty2     Sl+  01:44   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
mohamme+    3547  0.0  0.0 314300  7704 ?        Ssl  01:44   0:00 /usr/libexec/gvfsd
mohamme+    3553  0.0  0.0 459716  7160 ?        Sl   01:44   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
mohamme+    3564  0.0  0.0 382992  7732 ?        Ssl  01:44   0:00 /usr/libexec/at-spi-bus-launcher
mohamme+    3571  0.0  0.0   9624  4976 ?        S    01:44   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
mohamme+    3588  0.0  0.0 162660  5876 ?        Ssl  01:44   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
mohamme+    3589  0.0  0.0  91556  5424 ?        Ssl  01:44   0:00 /usr/libexec/gnome-session-ctl --monitor
mohamme+    3609  0.0  0.0 520676 15468 ?        Ssl  01:44   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
mohamme+    3646  1.4  1.7 5433960 269152 ?      Ssl  01:44  15:42 /usr/bin/gnome-shell
mohamme+    3675  0.0  0.4 1475100 71992 ?       Sl   01:44   0:01 /usr/libexec/mutter-x11-frames
mohamme+    3678  0.0  0.0 236056  8112 ?        Sl   01:44   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
mohamme+    3717  0.0  0.0 728520 14376 ?        Sl   01:44   0:00 /usr/libexec/gnome-shell-calendar-server
mohamme+    3725  0.0  0.2 1279304 33456 ?       Ssl  01:44   0:00 /usr/libexec/evolution-source-registry
mohamme+    3739  0.0  0.1 2924768 22800 ?       Sl   01:44   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
mohamme+    3762  0.0  0.1 546732 18316 ?        Sl   01:44   0:00 /usr/libexec/goa-daemon
mohamme+    3791  0.0  0.0 388864  8324 ?        Ssl  01:44   0:04 /usr/bin/ibus-daemon --panel disable --xim
mohamme+    3794  0.0  0.0 383572  6384 ?        Ssl  01:44   0:00 /usr/libexec/gsd-a11y-settings
mohamme+    3798  0.0  0.1 456148 23052 ?        Ssl  01:44   0:00 /usr/libexec/gsd-color
mohamme+    3803  0.0  0.0 431720 10968 ?        Ssl  01:44   0:00 /usr/libexec/gsd-datetime
mohamme+    3806  0.0  0.0 459052  7656 ?        Ssl  01:44   0:00 /usr/libexec/gsd-housekeeping
